AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia	https://en.wikipedia.org/wiki/Anaa_Airport
AAB	Arrabury Airport	Arrabury, Queensland, Australia	https://en.wikipedia.org/wiki/Arrabury_Airport
AAC	El Arish International Airport	El Arish, Egypt	https://en.wikipedia.org/wiki/El_Arish_International_Airport
AAD	Adado Airport	Adado (Cadaado), Galguduud, Somalia	https://en.wikipedia.org/wiki/Adado_Airport
AAE	Rabah Bitat Airport (Les Salines Airport)	Annaba, Algeria	https://en.wikipedia.org/wiki/Rabah_Bitat_Airport
AAF	Apalachicola Regional Airport	Apalachicola, Florida, United States	https://en.wikipedia.org/wiki/Apalachicola_Regional_Airport
AAG	Arapoti Airport	Arapoti, Paraná, Brazil	https://en.wikipedia.org/wiki/Arapoti_Airport
AAH	Merzbrück Airport	Aachen, North Rhine-Westphalia, Germany	https://en.wikipedia.org/wiki/Merzbr%C3%BCck_Airport
AAI	Arraias Airport	Arraias, Tocantins, Brazil	https://en.wikipedia.org/wiki/Arraias_Airport
AAJ	Cayana Airstrip	Awaradam, Suriname	https://en.wikipedia.org/wiki/Cayana_Airstrip
AAK	Aranuka Airport	Aranuka, Kiribati	https://en.wikipedia.org/wiki/Aranuka_Airport
AAL	Aalborg Airport	Aalborg, Denmark	https://en.wikipedia.org/wiki/Aalborg_Airport
AAM	Mala Mala Airport	Mala Mala, South Africa	https://en.wikipedia.org/wiki/Mala_Mala_Airport
AAN	Al Ain International Airport	Al Ain, United Arab Emirates	https://en.wikipedia.org/wiki/Al_Ain_International_Airport
AAO	Anaco Airport	Anaco, Venezuela	https://en.wikipedia.org/wiki/Anaco_Airport
AAP	Aji Pangeran Tumenggung Pranoto International Airport	Samarinda, East Kalimantan, Indonesia	https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport
AAQ	Anapa Airport	Anapa, Krasnodar Krai, Russia	https://en.wikipedia.org/wiki/Anapa_Airport
AAR	Aarhus Airport	Aarhus, Denmark	https://en.wikipedia.org/wiki/Aarhus_Airport
AAS	Apalapsili Airport	Apalapsili, Indonesia	https://en.wikipedia.org/wiki/Apalapsili_Airport
AAT	Altay Airport	Altay, Xinjiang, China	https://en.wikipedia.org/wiki/Altay_Airport
AAU	Asau Airport	Asau, Savai'i Island, Samoa	https://en.wikipedia.org/wiki/Asau_Airport
AAV	Allah Valley Airport	Surallah, Philippines	https://en.wikipedia.org/wiki/Allah_Valley_Airport
AAX	Araxá Airport	Araxá, Minas Gerais, Brazil	https://en.wikipedia.org/wiki/Arax%C3%A1_Airport
AAY	Al Ghaydah Airport	Al Ghaydah, Yemen	https://en.wikipedia.org/wiki/Al_Ghaydah_Airport
AAZ	Quetzaltenango Airport	Quetzaltenango, Guatemala	https://en.wikipedia.org/wiki/Quetzaltenango_Airport
ABA	Abakan International Airport	Abakan, Republic of Khakassia, Russia	https://en.wikipedia.org/wiki/Abakan_International_Airport
ABB	Asaba International Airport	Asaba, Nigeria	https://en.wikipedia.org/wiki/Asaba_International_Airport
ABC	Albacete Airport	Albacete, Castilla-La Mancha, Spain	https://en.wikipedia.org/wiki/Albacete_Airport
ABD	Abadan International Airport	Abadan, Iran	https://en.wikipedia.org/wiki/Abadan_International_Airport
ABE	Lehigh Valley International Airport	Allentown, Pennsylvania, United States	https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport
ABF	Abaiang Atoll Airport	Abaiang, Kiribati	https://en.wikipedia.org/wiki/Abaiang_Atoll_Airport
ABG	Abingdon Airport	Abingdon Downs, Queensland, Australia	https://en.wikipedia.org/wiki/Abingdon_Airport
ABH	Alpha Airport	Alpha, Queensland, Australia	https://en.wikipedia.org/wiki/Alpha_Airport
ABI	Abilene Regional Airport	Abilene, Texas, United States	https://en.wikipedia.org/wiki/Abilene_Regional_Airport
ABJ	Port Bouet Airport (Felix Houphouet Boigny Int'l)	Abidjan, Côte d'Ivoire	https://en.wikipedia.org/wiki/Port_Bouet_Airport
ABK	Kabri Dar Airport	Kebri Dahar, Ethiopia	https://en.wikipedia.org/wiki/Kabri_Dar_Airport
ABL	Ambler Airport (FAA: AFM)	Ambler, Alaska, United States	https://en.wikipedia.org/wiki/Ambler_Airport
ABM	Northern Peninsula Airport	Bamaga, Queensland, Australia	https://en.wikipedia.org/wiki/Northern_Peninsula_Airport
ABN	Albina Airstrip	Albina, Suriname	https://en.wikipedia.org/wiki/Albina_Airstrip
ABO	Aboisso Airport	Aboisso, Côte d'Ivoire	https://en.wikipedia.org/wiki/Aboisso_Airport
ABP	Atkamba Airport	Atkamba, Papua New Guinea	https://en.wikipedia.org/wiki/Atkamba_Airport
ABQ	Albuquerque International Sunport	Albuquerque, New Mexico, United States	https://en.wikipedia.org/wiki/Albuquerque_International_Sunport
ABR	Aberdeen Regional Airport	Aberdeen, South Dakota, United States	https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport
ABS	Abu Simbel Airport	Abu Simbel, Egypt	https://en.wikipedia.org/wiki/Abu_Simbel_Airport
ABT	Al-Baha Domestic Airport	Al Bahah, Saudi Arabia	https://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport
ABU	Haliwen Airport	Atambua, Indonesia	https://en.wikipedia.org/wiki/Haliwen_Airport
ABV	Nnamdi Azikiwe International Airport	Abuja, Nigeria	https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport
ABW	Abau Airport	Abau, Papua New Guinea	https://en.wikipedia.org/wiki/Abau_Airport
ABX	Albury Airport	Albury, New South Wales, Australia	https://en.wikipedia.org/wiki/Albury_Airport
ABY	Southwest Georgia Regional Airport	Albany, Georgia, United States	https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport
ABZ	Aberdeen Airport	Aberdeen, Scotland, United Kingdom	https://en.wikipedia.org/wiki/Aberdeen_Airport
ACA	Acapulco International Airport	Acapulco, Guerrero, Mexico	https://en.wikipedia.org/wiki/Acapulco_International_Airport
ACB	Antrim County Airport	Bellaire, Michigan, United States	https://en.wikipedia.org/wiki/Antrim_County_Airport
ACC	Kotoka International Airport	Accra, Ghana	https://en.wikipedia.org/wiki/Kotoka_International_Airport
ACD	Alcides Fernández Airport	Acandí, Colombia	https://en.wikipedia.org/wiki/Alcides_Fern%C3%A1ndez_Airport
ACE	Lanzarote Airport	Lanzarote, Canary Islands, Spain	https://en.wikipedia.org/wiki/Lanzarote_Airport
ACF	Aral Talim Airport	Aral, Xinjiang, China	https://en.wikipedia.org/wiki/Aral_Talim_Airport
ACH	St. Gallen–Altenrhein Airport	Altenrhein, Switzerland	https://en.wikipedia.org/wiki/St._Gallen%E2%80%93Altenrhein_Airport
ACI	Alderney Airport	Alderney, Channel Islands, United Kingdom	https://en.wikipedia.org/wiki/Alderney_Airport
ACJ	Anuradhapura Airport	Anuradhapura, Sri Lanka	https://en.wikipedia.org/wiki/Anuradhapura_Airport
ACK	Nantucket Memorial Airport	Nantucket, Massachusetts, United States	https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport
ACL	Aguaclara Airport	Aguaclara, Colombia	https://en.wikipedia.org/wiki/Aguaclara_Airport
ACM	Arica Airport	Arica, Colombia	https://en.wikipedia.org/wiki/Arica_Airport_(Colombia)
ACN	Ciudad Acuña International Airport	Ciudad Acuña, Coahuila, Mexico	https://en.wikipedia.org/wiki/Ciudad_Acu%C3%B1a_International_Airport
ACO	Cobano Airport	Cóbano, Costa Rica	https://en.wikipedia.org/wiki/Cobano_Airport
ACP	Sahand Airport	Maragheh, Iran	https://en.wikipedia.org/wiki/Sahand_Airport
ACR	Araracuara Airport	Araracuara, Colombia	https://en.wikipedia.org/wiki/Araracuara_Airport
ACS	Achinsk Airport	Achinsk, Krasnoyarsk Krai, Russia	https://en.wikipedia.org/wiki/Achinsk_Airport
ACT	Waco Regional Airport	Waco, Texas, United States	https://en.wikipedia.org/wiki/Waco_Regional_Airport
ACU	Achutupo Airport	Achutupo, Panama	https://en.wikipedia.org/wiki/Achutupo_Airport
ACV	Arcata-Eureka Airport	Eureka / Arcata, California, United States	https://en.wikipedia.org/wiki/Arcata-Eureka_Airport
ACX	Xingyi Wanfenglin Airport	Xingyi, Guizhou, China	https://en.wikipedia.org/wiki/Xingyi_Wanfenglin_Airport
ACY	Atlantic City International Airport	Atlantic City, New Jersey, United States	https://en.wikipedia.org/wiki/Atlantic_City_International_Airport
ACZ	Zabol Airport	Zabol, Iran	https://en.wikipedia.org/wiki/Zabol_Airport
ADA	Adana Şakirpaşa Airport	Adana, Turkey	https://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport
ADB	Adnan Menderes Airport	İzmir, Turkey	https://en.wikipedia.org/wiki/Adnan_Menderes_Airport
ADC	Andakombe Airport	Andakombe, Papua New Guinea	https://en.wikipedia.org/wiki/Andakombe_Airport
ADD	Bole International Airport	Addis Ababa, Ethiopia	https://en.wikipedia.org/wiki/Bole_International_Airport
ADE	Aden International Airport	Aden, Yemen	https://en.wikipedia.org/wiki/Aden_International_Airport
ADF	Adıyaman Airport	Adıyaman, Turkey	https://en.wikipedia.org/wiki/Ad%C4%B1yaman_Airport
ADG	Lenawee County Airport	Adrian, Michigan, United States	https://en.wikipedia.org/wiki/Lenawee_County_Airport
ADH	Aldan Airport	Aldan, Yakutia, Russia	https://en.wikipedia.org/wiki/Aldan_Airport
ADI	Arandis Airport	Arandis, Namibia	https://en.wikipedia.org/wiki/Arandis_Airport
ADJ	Amman Civil Airport (Marka International Airport)	Amman, Jordan	https://en.wikipedia.org/wiki/Amman_Civil_Airport
ADK	Adak Airport	Adak Island, Alaska, United States	https://en.wikipedia.org/wiki/Adak_Airport
ADL	Adelaide Airport	Adelaide, South Australia, Australia	https://en.wikipedia.org/wiki/Adelaide_Airport
ADM	Ardmore Municipal Airport	Ardmore, Oklahoma, United States	https://en.wikipedia.org/wiki/Ardmore_Municipal_Airport
ADN	Andes Airport	Andes, Colombia	https://en.wikipedia.org/wiki/Andes_Airport
ADO	Andamooka Airport	Andamooka, South Australia, Australia	https://en.wikipedia.org/wiki/Andamooka_Airport
ADP	Ampara Airport	Ampara, Sri Lanka	https://en.wikipedia.org/wiki/Ampara_Airport
ADQ	Kodiak Airport	Kodiak, Alaska, United States	https://en.wikipedia.org/wiki/Kodiak_Airport
ADR	Robert F. Swinnie Airport (FAA: PHH)	Andrews, South Carolina, United States	https://en.wikipedia.org/wiki/Robert_F._Swinnie_Airport
ADS	Addison Airport	Dallas, Texas, United States	https://en.wikipedia.org/wiki/Addison_Airport
ADT	Ada Municipal Airport (FAA: ADH)	Ada, Oklahoma, United States	https://en.wikipedia.org/wiki/Ada_Municipal_Airport
ADU	Ardabil Airport	Ardabil, Iran	https://en.wikipedia.org/wiki/Ardabil_Airport
ADV	Ed Daein Airport	Ed Daein, Sudan	https://en.wikipedia.org/wiki/Ed_Daein_Airport
ADW	Andrews Field (Andrews Air Force Base)	Camp Springs, Maryland, United States	https://en.wikipedia.org/wiki/Andrews_Field
